Country name,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020"
United States,331002647,328239523,104.451,38.3,2810927,2839076,2852747,3424996
Egypt,102334403,100388073,7.457,25.3,,,,
Morocco,36910558,36471769,20.016,29.6,,,,
Lebanon,6825442,6855713,21.508,31.1,,,,
Saudi Arabia,34813867,34268528,17.875,31.9,,,,
Jordan,10203140,10101694,37.577,23.2,,,,
Syria,17500657,17070135,4.063,21.7,,,,
Turkey,84339067,83429615,24.758,31.6,,,,
Pakistan,220892331,216565318,4.607,23.5,,,,
Indonesia,273523621,270625568,8.094,29.3,,,,
Bangladesh,164689383,163046161,4.59,27.5,,,,
United Kingdom,67886004,66834405,108.45,40.8,606874,613309,600532,696705
France,65273512,67059887,99.212,42,604105,607786,611291,678259
Germany,83783945,83132799,40.331,46.6,929351,952295,936772,1000855
Netherlands,17134873,17332850,67.26,43.2,149805,152991,151547,171175
Belgium,11589616,11484055,168.496,41.8,109278,110341,108436,128952
Spain,46754783,47076781,108.731,45.5,420589,423994,414914,501106
Italy,60461828,60297396,122.654,47.9,656891,638884,642964,756317
Poland,37846605,37970874,75.447,41.8,402533,411312,407624,485441
Hungary,9660350,9769949,98.723,43.4,131293,130624,129266,142921
Czech Republic,10708982,10669709,108.133,43.3,111007,112604,112040,131440
Romania,19237682,19356544,81.959,43,,,,
Sweden,10099270,10285453,86.412,41,91627,91920,88545,99647
Greece,10423056,10716322,46.416,45.3,124069,119952,124538,132966
Denmark,5792203,5818553,22.409,42.3,53103,55076,53805,55477
Iran,83992953,82913906,65.747,32.4,,,,
Hong Kong S.A.R. of China,7496988,7451000,1.974,44.8,45883,47478,48706,50653
Singapore,5850343,5703569,0.496,42.4,20905,21282,21446,22000
Japan,126476458,126264931,2.603,48.2,1340567,1362470,1387775,1376426
China,1439323774,1397715000,0.332,38.7,,,,
India,1380004385,1366417754,10.778,28.2,,,,
Venezuela,28435943,28515829,3.615,29,,,,
Brazil,212559409,211049527,91.715,33.5,1312663,1316719,1349802,1571383
Mexico,128932753,127575529,97.576,29.3,701160,718206,728889,1045794
Nigeria,206139587,200963599,0.625,18.1,,,,
Kenya,53771300,52573973,3.106,20,,,,
